nombre,nacionalidad,fecha_nacimiento,equipo_nombre
Max Verstappen,Países Bajos,1997-09-30,Red Bull Racing
Lewis Hamilton,Reino Unido,1985-01-07,Mercedes AMG F1
Charles Leclerc,Mónaco,1997-10-16,Ferrari
Lando Norris,Reino Unido,1999-11-13,McLaren
